Order_ID,Order_Date,Customer_ID,Customer_Name,Plant,Product_Type,Quantity_Ordered,Defects_Reported,Order_Status
PO-10000,2024-01-01,CUST-101,Volkswagen Group,Bremen,Engine ECU,282,1,Shipped
PO-10001,2024-01-02,CUST-106,Ford-Werke GmbH,Munich,Engine ECU,273,5,Completed
PO-10002,2024-01-03,CUST-103,Porsche AG,Hanover,Transmission ECU,368,2,Completed
PO-10003,2024-01-04,CUST-102,Mercedes-Benz AG,Munich,Battery ECU,461,5,Processing
PO-10004,2024-01-05,CUST-100,BMW Group,Leipzig,ADAS ECU,109,0,Completed
PO-10005,2024-01-06,CUST-100,BMW Group,Ingolstadt,ADAS ECU,384,1,Completed
PO-10006,2024-01-07,CUST-100,BMW Group,Wolfsburg,ADAS ECU,271,1,Completed
PO-10007,2024-01-08,CUST-104,Audi AG,Bremen,Battery ECU,86,2,Shipped
PO-10008,2024-01-09,CUST-102,Mercedes-Benz AG,Stuttgart,Battery ECU,327,1,Completed
PO-10009,2024-01-10,CUST-103,Porsche AG,Wolfsburg,Transmission ECU,245,1,Processing
PO-10010,2024-01-11,CUST-100,BMW Group,Leipzig,Engine ECU,453,0,Completed
PO-10011,2024-01-12,CUST-106,Ford-Werke GmbH,Hanover,Transmission ECU,401,3,Completed
PO-10012,2024-01-13,CUST-104,Audi AG,Stuttgart,Transmission ECU,291,3,Completed
PO-10013,2024-01-14,CUST-100,BMW Group,Nuremberg,Battery ECU,373,0,Shipped
PO-10014,2024-01-15,CUST-100,BMW Group,Regensburg,ADAS ECU,268,1,Completed
PO-10015,2024-01-16,CUST-100,BMW Group,Stuttgart,ABS ECU,241,2,Shipped
PO-10016,2024-01-17,CUST-101,Volkswagen Group,Berlin,Engine ECU,66,5,Completed
PO-10017,2024-01-18,CUST-102,Mercedes-Benz AG,Leipzig,Battery ECU,61,1,Completed
PO-10018,2024-01-19,CUST-101,Volkswagen Group,Dresden,ADAS ECU,455,3,Completed
PO-10019,2024-01-20,CUST-101,Volkswagen Group,Regensburg,ABS ECU,450,0,Shipped
PO-10020,2024-01-21,CUST-102,Mercedes-Benz AG,Munich,ABS ECU,443,2,Completed
PO-10021,2024-01-22,CUST-100,BMW Group,Bremen,Battery ECU,423,1,Completed
PO-10022,2024-01-23,CUST-101,Volkswagen Group,Munich,Body ECU,242,1,Completed
PO-10023,2024-01-24,CUST-101,Volkswagen Group,Stuttgart,Engine ECU,71,2,Shipped
PO-10024,2024-01-25,CUST-101,Volkswagen Group,Munich,ABS ECU,169,2,Completed
PO-10025,2024-01-26,CUST-103,Porsche AG,Berlin,Battery ECU,259,1,Completed
PO-10026,2024-01-27,CUST-100,BMW Group,Leipzig,Battery ECU,355,1,Completed
