Production_Date,Plant,Line,Shift,ECU_Serial_No,Product_Type,Supplier,Operator_ID,Cycle_Time_Sec,Programming_Time_Sec,Voltage_Test_V,Current_Test_A,Functional_Test_Score,Temperature_C,Humidity_Percent,Downtime_Minutes,Defect_Type,Status,Rework_Required,Production_Cost_EUR,Selling_Price_EUR
2023-01-01 00:00:00,Wolfsburg,EOL-02,A,ECU100000,ADAS ECU,Hella,OP0009,94.03,28.55,12.16,1.79,76,29.0,32,0,None,Pass,No,117.4,210.15
2023-01-01 01:00:00,Nuremberg,ASSY-01,A,ECU100001,Transmission ECU,Valeo,OP0003,92.01,29.08,11.95,1.93,70,15.8,50,10,None,Pass,No,109.11,141.79
2023-01-01 02:00:00,Dresden,SMT-02,B,ECU100002,ADAS ECU,Bosch,OP0170,66.82,33.11,12.21,1.84,67,26.0,66,0,None,Pass,No,143.45,224.74
2023-01-01 03:00:00,Leipzig,ASSY-02,B,ECU100003,ABS ECU,ZF,OP0147,100.67,34.03,11.58,1.97,95,35.6,36,0,Sensor Failure,Fail,Yes,133.65,200.92
2023-01-01 04:00:00,Stuttgart,EOL-01,B,ECU100004,Battery ECU,Continental,OP0006,101.57,33.1,11.85,1.89,100,26.0,36,0,None,Pass,No,139.48,237.22
2023-01-01 05:00:00,Stuttgart,SMT-03,A,ECU100005,Engine ECU,Hella,OP0171,101.61,33.65,12.86,1.95,84,19.2,69,0,None,Pass,No,114.79,145.26
2023-01-01 06:00:00,Munich,SMT-03,C,ECU100006,ABS ECU,Continental,OP0080,79.24,38.59,12.41,1.61,66,21.9,74,0,None,Pass,No,112.79,171.31
2023-01-01 07:00:00,Hanover,SMT-03,C,ECU100007,Body ECU,Valeo,OP0292,68.26,33.76,12.71,1.84,94,16.5,58,0,Programming Error,Fail,Yes,118.3,152.25
2023-01-01 08:00:00,Leipzig,EOL-02,A,ECU100008,Transmission ECU,Bosch,OP0224,82.67,36.44,12.56,1.67,80,19.5,74,0,None,Pass,No,139.85,179.3
2023-01-01 09:00:00,Dresden,EOL-01,A,ECU100009,Transmission ECU,Infineon,OP0295,107.69,39.87,11.98,1.73,98,20.4,74,0,None,Pass,No,129.0,228.87
2023-01-01 10:00:00,Munich,SMT-01,B,ECU100010,Engine ECU,ZF,OP0043,75.48,31.42,12.08,1.37,89,19.8,50,0,None,Pass,No,118.35,155.43
2023-01-01 11:00:00,Nuremberg,EOL-01,B,ECU100011,Body ECU,Bosch,OP0245,76.98,34.98,12.03,2.13,84,24.7,74,0,None,Pass,No,66.67,89.52
2023-01-01 12:00:00,Regensburg,SMT-01,B,ECU100012,Body ECU,Infineon,OP0050,74.09,35.53,11.83,1.46,67,10.1,66,0,None,Pass,No,108.07,176.68
2023-01-01 13:00:00,Stuttgart,SMT-03,B,ECU100013,Engine ECU,Continental,OP0295,83.7,26.61,12.48,1.69,81,17.8,49,10,None,Pass,No,106.31,137.61
2023-01-01 14:00:00,Stuttgart,ASSY-01,A,ECU100014,Engine ECU,Continental,OP0130,96.22,22.05,12.33,1.74,81,26.9,35,0,None,Pass,No,132.85,230.78
2023-01-01 15:00:00,Stuttgart,ASSY-01,C,ECU100015,Body ECU,ZF,OP0252,100.16,35.27,12.37,2.05,86,34.5,60,15,None,Pass,No,69.46,88.69
2023-01-01 16:00:00,Wolfsburg,SMT-01,B,ECU100016,Engine ECU,Infineon,OP0165,71.07,28.7,11.63,1.61,94,26.2,74,0,Component Missing,Fail,Yes,102.54,141.56
2023-01-01 17:00:00,Leipzig,SMT-03,A,ECU100017,Engine ECU,Infineon,OP0101,105.18,44.68,11.78,1.62,89,19.8,36,10,None,Pass,No,112.52,153.11
2023-01-01 18:00:00,Ingolstadt,EOL-01,A,ECU100018,Engine ECU,ZF,OP0275,107.29,39.23,12.08,1.98,67,28.2,64,0,None,Pass,No,93.81,115.05
2023-01-01 19:00:00,Stuttgart,ASSY-01,B,ECU100019,Engine ECU,Bosch,OP0069,85.71,28.84,11.64,1.69,83,29.5,56,30,None,Pass,No,101.69,147.4
2023-01-01 20:00:00,Leipzig,SMT-01,B,ECU100020,Engine ECU,Hella,OP0044,69.2,24.2,11.99,1.54,72,20.2,31,0,None,Pass,No,61.96,93.76
2023-01-01 21:00:00,Munich,EOL-01,B,ECU100021,ABS ECU,Bosch,OP0150,108.85,27.54,11.6,1.66,82,19.7,64,0,None,Pass,No,84.4,146.09
2023-01-01 22:00:00,Stuttgart,SMT-03,C,ECU100022,ABS ECU,Continental,OP0135,95.63,35.62,11.62,1.99,74,32.1,58,0,None,Pass,No,102.13,145.54
2023-01-01 23:00:00,Wolfsburg,SMT-02,A,ECU100023,Battery ECU,Bosch,OP0218,118.56,33.18,12.48,1.91,85,18.6,52,0,None,Pass,No,67.6,89.22
2023-01-02 00:00:00,Ingolstadt,SMT-03,C,ECU100024,Engine ECU,Valeo,OP0148,68.41,39.23,12.74,1.9,98,32.8,58,0,None,Pass,No,126.9,197.18
2023-01-02 01:00:00,Regensburg,EOL-02,B,ECU100025,ADAS ECU,Bosch,OP0126,94.37,28.61,12.28,1.98,82,26.8,75,0,Communication Failure,Fail,Yes,102.61,176.7
2023-01-02 02:00:00,Stuttgart,SMT-03,B,ECU100026,Battery ECU,Bosch,OP0249,112.01,37.85,11.81,1.93,98,30.4,63,0,None,Pass,No,55.52,98.89
2023-01-02 03:00:00,Ingolstadt,EOL-01,C,ECU100027,Transmission ECU,Infineon,OP0054,96.98,36.95,11.97,1.79,98,29.1,47,0,None,Pass,No,114.95,173.19
2023-01-02 04:00:00,Leipzig,EOL-01,B,ECU100028,ABS ECU,Valeo,OP0223,57.22,42.56,12.15,2.02,95,29.2,57,5,None,Pass,No,107.2,190.01
2023-01-02 05:00:00,Munich,ASSY-02,A,ECU100029,ABS ECU,Continental,OP0209,58.68,36.1,12.22,1.67,80,18.3,59,0,None,Pass,No,135.65,197.44
2023-01-02 06:00:00,Leipzig,ASSY-02,C,ECU100030,ADAS ECU,ZF,OP0144,116.96,29.78,12.0,1.93,98,27.6,58,0,None,Pass,No,78.36,95.97
2023-01-02 07:00:00,Stuttgart,EOL-01,B,ECU100031,Battery ECU,Bosch,OP0138,80.77,42.93,12.25,1.56,99,30.3,51,0,None,Pass,No,139.16,213.82
2023-01-02 08:00:00,Munich,EOL-01,B,ECU100032,Engine ECU,Hella,OP0225,97.16,33.38,12.06,1.91,84,22.8,70,5,None,Pass,No,111.48,191.85
2023-01-02 09:00:00,Nuremberg,SMT-02,C,ECU100033,ABS ECU,Infineon,OP0102,70.5,32.52,11.73,1.96,90,14.1,32,10,Programming Error,Fail,Yes,99.08,119.57
2023-01-02 10:00:00,Nuremberg,SMT-02,B,ECU100034,Transmission ECU,Infineon,OP0099,81.47,35.72,12.14,1.74,67,17.4,65,20,Sensor Failure,Fail,Yes,114.26,202.97
2023-01-02 11:00:00,Regensburg,SMT-03,B,ECU100035,ADAS ECU,ZF,OP0283,104.31,42.24,12.35,2.17,73,16.1,66,0,None,Pass,No,62.81,112.7
2023-01-02 12:00:00,Wolfsburg,EOL-02,B,ECU100036,Body ECU,Hella,OP0091,94.24,41.35,12.11,1.74,86,22.1,54,20,None,Pass,No,128.77,180.28
2023-01-02 13:00:00,Munich,ASSY-01,B,ECU100037,Body ECU,Bosch,OP0297,83.25,38.44,11.74,1.93,67,17.0,52,5,None,Pass,No,130.23,169.74
2023-01-02 14:00:00,Bremen,EOL-02,A,ECU100038,Engine ECU,Hella,OP0204,101.98,40.32,12.04,2.13,77,20.9,30,0,None,Pass,No,108.65,190.28
2023-01-02 15:00:00,Ingolstadt,SMT-02,C,ECU100039,ADAS ECU,Infineon,OP0238,89.16,37.5,11.81,2.07,98,34.1,66,5,None,Pass,No,104.34,168.42
2023-01-02 16:00:00,Munich,SMT-03,A,ECU100040,ADAS ECU,ZF,OP0097,105.02,29.45,11.7,1.98,76,28.2,50,60,None,Pass,No,108.57,190.71
2023-01-02 17:00:00,Ingolstadt,EOL-02,B,ECU100041,Body ECU,Hella,OP0121,83.56,40.68,11.7,1.64,79,27.1,59,5,None,Pass,No,105.47,157.11
2023-01-02 18:00:00,Munich,SMT-01,C,ECU100042,Transmission ECU,Hella,OP0117,94.42,20.19,11.76,1.73,73,29.7,75,45,None,Pass,No,135.63,225.28
2023-01-02 19:00:00,Hanover,ASSY-02,A,ECU100043,Transmission ECU,ZF,OP0066,119.98,34.85,12.09,1.54,78,17.6,61,0,None,Pass,No,80.94,107.36
2023-01-02 20:00:00,Stuttgart,EOL-02,A,ECU100044,Engine ECU,ZF,OP0131,92.37,35.28,12.43,1.76,90,19.3,76,0,None,Pass,No,122.16,175.14
2023-01-02 21:00:00,Bremen,ASSY-01,A,ECU100045,Body ECU,ZF,OP0267,100.4,48.01,12.29,1.97,91,24.5,53,0,None,Pass,No,44.99,74.23
2023-01-02 22:00:00,Wolfsburg,SMT-03,B,ECU100046,ADAS ECU,Infineon,OP0092,63.79,29.15,12.13,1.87,98,20.7,77,0,None,Pass,No,139.06,174.39
2023-01-02 23:00:00,Leipzig,EOL-02,C,ECU100047,ADAS ECU,ZF,OP0077,92.2,40.99,12.26,1.57,96,22.1,66,0,None,Pass,No,152.0,190.0
2023-01-03 00:00:00,Leipzig,EOL-01,B,ECU100048,ABS ECU,Valeo,OP0238,93.07,36.29,12.39,2.16,80,27.1,56,0,None,Pass,No,83.74,146.11
2023-01-03 01:00:00,Stuttgart,SMT-01,A,ECU100049,Body ECU,Bosch,OP0252,71.82,32.94,12.38,1.79,95,28.7,67,0,None,Pass,No,87.33,117.42
2023-01-03 02:00:00,Nuremberg,ASSY-02,B,ECU100050,Body ECU,Infineon,OP0227,85.94,23.76,11.98,1.73,79,26.7,64,0,None,Pass,No,106.44,134.45
2023-01-03 03:00:00,Dresden,SMT-01,B,ECU100051,ADAS ECU,ZF,OP0141,85.65,36.27,11.83,1.78,93,29.7,45,30,None,Pass,No,97.82,166.66
2023-01-03 04:00:00,Nuremberg,SMT-03,A,ECU100052,Transmission ECU,Continental,OP0054,73.35,36.37,12.59,2.04,86,10.7,33,10,None,Pass,No,136.37,227.91
2023-01-03 05:00:00,Hanover,SMT-02,B,ECU100053,Engine ECU,Hella,OP0140,82.38,33.47,12.18,1.67,68,34.1,59,15,None,Pass,No,120.63,214.9
2023-01-03 06:00:00,Leipzig,ASSY-02,A,ECU100054,ABS ECU,ZF,OP0146,121.69,44.86,12.3,1.92,94,28.1,47,0,None,Pass,No,105.72,168.68
2023-01-03 07:00:00,Hanover,SMT-01,C,ECU100055,ADAS ECU,ZF,OP0274,90.33,41.83,11.65,1.97,96,22.2,35,0,Component Missing,Fail,Yes,103.46,132.03
2023-01-03 08:00:00,Munich,SMT-02,A,ECU100056,Battery ECU,Bosch,OP0145,94.68,33.97,12.46,2.13,68,16.6,75,0,None,Pass,No,101.92,138.77
2023-01-03 09:00:00,Stuttgart,ASSY-01,A,ECU100057,Engine ECU,ZF,OP0167,118.28,41.65,11.78,1.51,65,23.1,70,0,None,Pass,No,134.1,201.44
2023-01-03 10:00:00,Munich,SMT-03,C,ECU100058,ABS ECU,Infineon,OP0086,52.67,42.82,11.83,1.71,100,20.0,77,0,None,Pass,No,142.77,216.41
2023-01-03 11:00:00,Wolfsburg,SMT-03,B,ECU100059,Battery ECU,Valeo,OP0141,122.31,31.07,11.72,1.68,71,30.1,44,0,None,Pass,No,77.67,96.8
2023-01-03 12:00:00,Wolfsburg,ASSY-02,A,ECU100060,Transmission ECU,Continental,OP0045,101.19,28.83,11.98,1.76,88,27.4,36,0,None,Pass,No,142.39,171.44
2023-01-03 13:00:00,Stuttgart,SMT-01,C,ECU100061,Transmission ECU,Continental,OP0128,71.53,27.73,12.02,1.78,97,20.8,68,60,None,Pass,No,103.9,171.97
2023-01-03 14:00:00,Regensburg,ASSY-01,B,ECU100062,ABS ECU,ZF,OP0117,71.4,41.09,11.94,1.78,79,17.0,66,0,None,Pass,No,110.11,161.48
2023-01-03 15:00:00,Wolfsburg,EOL-01,A,ECU100063,Transmission ECU,Bosch,OP0147,101.96,32.97,12.01,1.94,89,22.8,55,0,None,Pass,No,99.76,143.93
2023-01-03 16:00:00,Stuttgart,ASSY-02,B,ECU100064,ADAS ECU,Infineon,OP0147,101.63,30.68,11.67,1.74,89,29.0,68,5,None,Pass,No,117.02,193.21
2023-01-03 17:00:00,Leipzig,EOL-01,C,ECU100065,Body ECU,Infineon,OP0021,96.52,40.78,12.19,1.88,78,26.7,30,0,None,Pass,No,106.54,156.34
2023-01-03 18:00:00,Munich,ASSY-02,B,ECU100066,Engine ECU,ZF,OP0024,75.79,33.12,12.59,1.94,76,17.0,75,0,None,Pass,No,135.48,168.51
2023-01-03 19:00:00,Regensburg,SMT-01,A,ECU100067,Body ECU,Hella,OP0158,93.52,28.76,11.78,1.92,76,21.4,55,0,None,Pass,No,136.88,215.91
2023-01-03 20:00:00,Munich,ASSY-01,B,ECU100068,ABS ECU,Infineon,OP0048,80.33,43.98,11.75,1.83,80,28.9,79,0,Programming Error,Fail,Yes,114.72,190.22
2023-01-03 21:00:00,Nuremberg,SMT-01,B,ECU100069,ABS ECU,Infineon,OP0110,85.9,41.35,11.94,1.96,89,23.3,59,0,None,Pass,No,134.92,171.95
2023-01-03 22:00:00,Dresden,SMT-03,C,ECU100070,Body ECU,Infineon,OP0059,75.21,31.17,11.92,1.63,75,23.7,52,0,None,Pass,No,127.29,216.11
2023-01-03 23:00:00,Stuttgart,EOL-01,A,ECU100071,Engine ECU,Continental,OP0017,79.83,30.43,11.64,1.68,69,33.4,63,5,None,Pass,No,54.61,84.88
2023-01-04 00:00:00,Munich,SMT-02,B,ECU100072,Engine ECU,Infineon,OP0055,58.44,33.94,11.55,1.7,78,18.7,77,20,None,Pass,No,95.88,117.32
2023-01-04 01:00:00,Regensburg,EOL-02,A,ECU100073,ABS ECU,Hella,OP0137,112.55,38.95,12.36,1.9,93,29.6,75,0,None,Pass,No,103.16,140.88
2023-01-04 02:00:00,Dresden,SMT-03,B,ECU100074,Transmission ECU,Valeo,OP0077,77.34,41.83,11.45,1.88,66,21.9,32,0,None,Pass,No,81.8,102.01
2023-01-04 03:00:00,Dresden,SMT-03,C,ECU100075,Engine ECU,Continental,OP0270,110.58,28.51,12.0,2.01,66,22.2,48,0,None,Pass,No,115.8,182.03
2023-01-04 04:00:00,Dresden,EOL-01,A,ECU100076,Transmission ECU,Continental,OP0180,83.18,25.24,11.66,1.65,76,24.9,60,0,None,Pass,No,143.09,213.06
2023-01-04 05:00:00,Munich,ASSY-02,A,ECU100077,Body ECU,Valeo,OP0085,81.08,33.76,12.38,2.18,69,25.6,68,20,Solder Defect,Fail,Yes,80.4,124.95
2023-01-04 06:00:00,Wolfsburg,SMT-03,B,ECU100078,Body ECU,Hella,OP0300,58.7,28.54,11.59,1.81,76,27.1,74,0,None,Pass,No,93.01,151.56
2023-01-04 07:00:00,Munich,EOL-02,B,ECU100079,ADAS ECU,ZF,OP0139,118.58,33.35,11.75,1.7,97,23.2,42,30,None,Pass,No,77.59,128.4
2023-01-04 08:00:00,Hanover,ASSY-01,A,ECU100080,Body ECU,Bosch,OP0170,105.74,31.38,11.6,2.01,74,27.4,58,15,None,Pass,No,156.42,265.8
2023-01-04 09:00:00,Bremen,SMT-03,B,ECU100081,Engine ECU,Hella,OP0242,75.8,25.22,11.77,1.93,99,24.7,39,0,None,Pass,No,132.21,192.22
2023-01-04 10:00:00,Wolfsburg,ASSY-01,C,ECU100082,ABS ECU,Valeo,OP0064,103.8,45.18,11.67,1.79,77,21.3,46,0,None,Pass,No,87.54,153.45
2023-01-04 11:00:00,Munich,SMT-01,B,ECU100083,Body ECU,Infineon,OP0240,106.06,35.76,12.16,1.73,74,17.8,60,0,Component Missing,Fail,Yes,103.82,164.63
2023-01-04 12:00:00,Wolfsburg,ASSY-02,B,ECU100084,Battery ECU,Infineon,OP0095,93.06,40.23,12.14,1.73,79,27.2,70,0,None,Pass,No,98.29,123.78
2023-01-04 13:00:00,Wolfsburg,ASSY-01,A,ECU100085,Engine ECU,Valeo,OP0146,92.6,21.82,12.87,1.84,73,25.5,57,0,Communication Failure,Fail,Yes,82.49,129.76
2023-01-04 14:00:00,Dresden,SMT-03,C,ECU100086,ADAS ECU,Infineon,OP0049,89.81,30.57,11.39,1.81,90,20.7,37,0,None,Pass,No,99.24,171.57
