Production_Date,Plant,Line,Shift,ECU_Serial_No,Product_Type,Operator_ID,Cycle_Time_Sec,Programming_Time_Sec,Voltage_Test_V,Current_Test_A,Functional_Test_Score,Downtime_Minutes,Defect_Type,Status,Rework_Required
2024-01-01 00:00:00,Berlin,ASSY-01,C,ECU100000,Engine ECU,OP037,88.24,27.71,12.08,1.8,97,15,None,Pass,No
2024-01-01 01:00:00,Munich,SMT-02,B,ECU100001,ABS ECU,OP059,110.28,25.69,12.28,1.65,78,0,None,Pass,No
2024-01-01 02:00:00,Berlin,SMT-02,A,ECU100002,Body ECU,OP021,99.58,33.27,12.13,1.67,91,0,None,Pass,No
2024-01-01 03:00:00,Berlin,EOL-01,C,ECU100003,Engine ECU,OP020,90.22,30.26,11.55,1.66,77,0,None,Pass,No
2024-01-01 04:00:00,Munich,SMT-01,B,ECU100004,Engine ECU,OP001,91.52,35.37,12.07,1.84,95,0,None,Pass,No
2024-01-01 05:00:00,Munich,EOL-01,A,ECU100005,Engine ECU,OP099,86.07,36.43,11.99,1.57,76,10,None,Pass,No
2024-01-01 06:00:00,Berlin,SMT-02,A,ECU100006,Engine ECU,OP059,69.89,24.47,12.02,1.56,99,0,None,Pass,No
2024-01-01 07:00:00,Stuttgart,EOL-01,B,ECU100007,Body ECU,OP028,81.8,38.91,11.92,2.02,87,0,None,Pass,No
2024-01-01 08:00:00,Berlin,EOL-01,A,ECU100008,ADAS ECU,OP071,53.86,20.59,12.21,1.83,90,0,None,Pass,No
2024-01-01 09:00:00,Berlin,SMT-02,C,ECU100009,ADAS ECU,OP056,71.87,24.93,11.96,1.58,78,0,None,Pass,No
2024-01-01 10:00:00,Berlin,ASSY-01,A,ECU100010,ABS ECU,OP009,101.66,24.65,12.32,1.94,95,0,None,Pass,No
2024-01-01 11:00:00,Berlin,SMT-02,B,ECU100011,Body ECU,OP065,85.93,35.39,12.04,1.67,79,0,None,Pass,No
2024-01-01 12:00:00,Munich,ASSY-01,C,ECU100012,Body ECU,OP036,72.21,32.08,11.85,1.7,96,0,None,Pass,No
2024-01-01 13:00:00,Berlin,SMT-02,A,ECU100013,ABS ECU,OP098,91.32,31.11,12.48,1.8,91,0,None,Pass,No
2024-01-01 14:00:00,Stuttgart,SMT-02,A,ECU100014,Body ECU,OP034,92.25,20.36,11.8,1.6,80,0,None,Pass,No
2024-01-01 15:00:00,Munich,SMT-02,C,ECU100015,Body ECU,OP081,103.5,29.91,11.92,1.89,94,0,None,Pass,No
2024-01-01 16:00:00,Stuttgart,SMT-01,C,ECU100016,Engine ECU,OP032,106.34,39.75,12.08,1.71,94,0,None,Pass,No
2024-01-01 17:00:00,Stuttgart,ASSY-01,A,ECU100017,Engine ECU,OP066,94.37,32.06,11.63,1.42,71,0,None,Pass,No
2024-01-01 18:00:00,Stuttgart,SMT-01,C,ECU100018,Engine ECU,OP100,66.82,28.69,12.05,1.85,96,10,None,Pass,No
2024-01-01 19:00:00,Stuttgart,SMT-02,B,ECU100019,Body ECU,OP025,112.36,34.33,11.85,2.0,88,0,None,Pass,No
2024-01-01 20:00:00,Munich,EOL-01,A,ECU100020,Body ECU,OP051,101.24,30.58,12.57,1.99,79,0,None,Pass,No
2024-01-01 21:00:00,Munich,SMT-01,B,ECU100021,ADAS ECU,OP063,95.19,28.0,11.94,1.61,84,0,Programming Error,Fail,Yes
2024-01-01 22:00:00,Stuttgart,ASSY-01,A,ECU100022,Engine ECU,OP090,84.8,27.28,11.75,1.87,87,0,None,Pass,No
2024-01-01 23:00:00,Stuttgart,SMT-02,B,ECU100023,ABS ECU,OP045,66.4,32.17,12.09,1.73,74,0,None,Pass,No
2024-01-02 00:00:00,Munich,SMT-01,B,ECU100024,Body ECU,OP026,78.28,28.87,12.03,1.84,81,0,None,Pass,No
2024-01-02 01:00:00,Munich,EOL-01,C,ECU100025,Engine ECU,OP021,84.39,30.67,12.2,1.59,77,0,None,Pass,No
2024-01-02 02:00:00,Munich,SMT-01,A,ECU100026,ADAS ECU,OP082,80.19,20.71,11.78,1.71,75,20,None,Pass,No
2024-01-02 03:00:00,Berlin,ASSY-01,C,ECU100027,Engine ECU,OP093,98.12,29.56,12.38,1.64,93,0,None,Pass,No
2024-01-02 04:00:00,Berlin,SMT-01,C,ECU100028,ADAS ECU,OP051,84.08,25.76,12.09,1.52,70,0,None,Pass,No
2024-01-02 05:00:00,Berlin,EOL-01,A,ECU100029,ADAS ECU,OP024,75.68,34.15,11.82,1.64,94,0,None,Pass,No
2024-01-02 06:00:00,Stuttgart,EOL-01,B,ECU100030,Body ECU,OP092,91.01,25.76,12.03,1.81,82,0,None,Pass,No
2024-01-02 07:00:00,Berlin,ASSY-01,A,ECU100031,ADAS ECU,OP012,75.05,26.94,12.16,1.6,84,30,None,Pass,No
2024-01-02 08:00:00,Stuttgart,EOL-01,A,ECU100032,ADAS ECU,OP011,65.42,24.59,12.12,1.8,80,0,None,Pass,No
2024-01-02 09:00:00,Stuttgart,SMT-02,A,ECU100033,ABS ECU,OP027,91.11,33.32,11.7,1.9,99,0,None,Pass,No
2024-01-02 10:00:00,Berlin,EOL-01,C,ECU100034,ADAS ECU,OP023,84.13,32.07,11.52,1.97,92,5,None,Pass,No
2024-01-02 11:00:00,Stuttgart,SMT-02,A,ECU100035,ABS ECU,OP033,86.88,25.61,11.66,2.06,73,0,None,Pass,No
2024-01-02 12:00:00,Berlin,SMT-01,A,ECU100036,ABS ECU,OP080,101.51,26.3,12.05,1.91,77,0,None,Pass,No
2024-01-02 13:00:00,Berlin,SMT-02,A,ECU100037,Engine ECU,OP092,88.01,33.17,12.09,1.62,76,0,None,Pass,No
2024-01-02 14:00:00,Munich,SMT-02,B,ECU100038,Engine ECU,OP092,91.83,38.17,11.33,1.88,96,0,None,Pass,No
2024-01-02 15:00:00,Berlin,SMT-01,B,ECU100039,Body ECU,OP038,85.21,31.79,12.07,1.94,82,0,None,Pass,No
2024-01-02 16:00:00,Munich,EOL-01,B,ECU100040,Body ECU,OP055,94.72,34.59,11.81,1.66,90,5,Communication Failure,Fail,Yes
2024-01-02 17:00:00,Berlin,SMT-02,B,ECU100041,Body ECU,OP070,59.41,28.94,11.7,1.96,74,0,None,Pass,No
2024-01-02 18:00:00,Berlin,EOL-01,C,ECU100042,ADAS ECU,OP042,75.71,25.75,11.84,1.71,70,0,None,Pass,No
2024-01-02 19:00:00,Munich,SMT-01,C,ECU100043,Engine ECU,OP029,80.37,29.33,12.01,1.81,94,0,None,Pass,No
2024-01-02 20:00:00,Munich,ASSY-01,A,ECU100044,ADAS ECU,OP034,79.25,34.34,11.98,1.97,85,0,None,Pass,No
2024-01-02 21:00:00,Berlin,EOL-01,C,ECU100045,Engine ECU,OP057,75.5,27.74,11.44,1.73,80,0,None,Pass,No
2024-01-02 22:00:00,Stuttgart,EOL-01,B,ECU100046,ADAS ECU,OP003,84.02,28.61,12.36,1.76,91,5,None,Pass,No
2024-01-02 23:00:00,Munich,ASSY-01,A,ECU100047,Body ECU,OP006,83.37,38.9,12.16,1.94,100,0,None,Pass,No
